trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.5, 'e': 0.5986876601124517}",35,7,-104.79199992197985,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.5744425168116587}",25,6,-43.5655534931996,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.5498339973124777}",25,15,1.597921553208257,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.5249791874789399}",30,9,-131.15400554964424,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 2}",1
101,False,"{'a': 0.5, 'e': 0.5}",25,0,-32.713003972116496,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.47502081252105965}",25,0,-4.595379197967695,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.4501660026875218}",30,13,-32.47382443330918,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.42555748318834086}",20,0,35.08672448298234,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.4013123398875479}",30,2,-71.46488806327932,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3775406687981454}",20,8,21.50148860661849,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.35434369377420416}",20,5,25.880743215255666,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3318122278318336}",25,11,16.369082514813762,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3100255188723874}",20,1,-13.310045544496413,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.289050497374996}",35,0,-55.97846201956955,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.2689414213699951}",20,8,13.583168385770872,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.2497398944048821}",20,6,-15.088537570374353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.23147521650098213}",30,20,-28.055152734081165,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.2141650169574414}",20,2,-26.831711470747194,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.1978161114414182}",25,14,-22.209705386848643,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.18242552380635635}",30,17,26.08582598576341,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.16798161486607543}",30,18,10.591707088434422,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.15446526508353453}",30,18,13.320468743541763,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
